,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250304,3409.1822,3409.3696,3412.0106,3399.9002,394353.0,2261.0,107764.0,4.0,-1.0,12400.0,-3750.0,2.0,0.0,10014.0,0.0,3390.6395,3377.93519,3376.480055,12.70431000000008,14.15944500000023,3.0,8650.0,2.0,10014.0,0.005733441865536715,-0.0816685994401664,0.1559,0.21461716937355008
20250305,3376.9033,3399.578,3399.578,3366.7277,391694.0,-2659.0,160990.0,4.0,-1.0,13518.0,-2806.0,1.0,-1.0,7350.0,-1059.0,3390.43046,3380.41958,3375.89377,10.01088000000027,14.53669000000036,3.0,10712.0,0.0,6291.0,-0.006788462422196919,-0.0679875187227975,0.1617,0.28190255220417654
20250306,3371.5095,3373.748,3378.1563,3359.9041,399382.0,7688.0,106976.0,4.0,-2.0,13442.0,-3300.0,1.0,-1.0,7453.0,-3474.0,3390.30576,3381.26606,3377.138715,9.039699999999812,13.16704500000014,2.0,10142.0,0.0,3979.0,0.019249740849612652,-0.0938262943289869,0.1658,0.3294663573085848
20250307,3339.9915,3370.9223,3383.5291,3335.7027,433245.0,33863.0,275180.0,4.0,-1.0,16049.0,-3084.0,1.0,-1.0,4634.0,-3032.0,3382.33692,3379.56226,3375.579395,2.77466000000004,6.757525000000442,3.0,12965.0,0.0,1602.0,0.0781613174993364,-0.162563155675821,0.1819,0.5162412993039445
20250310,3325.7768,3349.8578,3361.6807,3322.1461,459858.0,26613.0,237260.0,4.0,-1.0,20274.0,-2215.0,1.0,-1.0,1936.0,-428.0,3364.67266,3374.25137,3372.27763,-9.578710000000228,-7.604969999999412,3.0,18059.0,0.0,1508.0,0.05787221272653732,-0.1254064317363341,0.1933,0.6484918793503481
20250311,3324.7531,3312.6788,3332.7546,3312.6788,461057.0,1199.0,137402.0,4.0,-1.0,20417.0,-2535.0,1.0,-1.0,0.0,-2052.0,3347.78684,3369.21317,3368.884185,-21.42633000000023,-21.09734500000013,3.0,17882.0,0.0,-2052.0,0.0026005461363779315,-0.1077789469637004,0.1867,0.571925754060325
20250312,3296.0798,3322.6815,3322.9024,3291.4363,474933.0,13876.0,189083.0,4.0,-1.0,24578.0,-2958.0,0.0,-2.0,0.0,-5177.0,3331.62214,3361.0263,3364.46861,-29.40415999999959,-32.8464699999995,3.0,21620.0,-2.0,-5177.0,0.029216752678798905,-0.1069711739297419,0.1781,0.4721577726218099
20250313,3272.3571,3296.4706,3301.6725,3266.9702,501535.0,26602.0,256246.0,4.0,-1.0,29885.0,-2069.0,0.0,-2.0,0.0,-6622.0,3311.79166,3351.04871,3358.055815,-39.25704999999971,-46.26415499999939,3.0,27816.0,-2.0,-6622.0,0.05304116362766308,-0.1794842774522503,0.1756,0.44315545243619503
20250314,3280.7265,3269.3121,3283.9262,3261.2791,506900.0,5365.0,251485.0,4.0,-1.0,27732.0,-3223.0,0.0,-2.0,0.0,-5770.0,3299.93866,3341.13779,3351.945945,-41.19912999999997,-52.00728500000059,3.0,24509.0,-2.0,-5770.0,0.010583941605839416,-0.3481987583027469,0.1802,0.6149425287356323
20250317,3280.2594,3285.215,3295.8841,3274.7618,516591.0,9691.0,211579.0,4.0,-1.0,32479.0,-2981.0,0.0,-2.0,0.0,-5176.0,3290.83518,3327.75392,3349.64017,-36.91873999999962,-58.80498999999963,3.0,29498.0,-2.0,-5176.0,0.018759521555737516,-0.3182343168572666,0.1775,0.6246105919003114
20250318,3272.0453,3281.8615,3288.3813,3262.443,529143.0,12552.0,177523.0,4.0,-1.0,32165.0,-2218.0,0.0,-2.0,0.0,-5943.0,3280.293619999999,3314.04023,3345.98771,-33.7466100000006,-65.69409000000041,3.0,29947.0,-2.0,-5943.0,0.0237213758851577,-0.4468912547807357,0.1711,0.5249221183800624
20250319,3246.4542,3274.3337,3277.6774,3242.8549,546121.0,16978.0,207180.0,4.0,-1.0,31438.0,-916.0,0.0,-2.0,0.0,-8309.0,3270.3685,3300.99532,3340.70745,-30.6268199999995,-70.3389500000003,3.0,30522.0,-2.0,-8309.0,0.031088348552793247,-0.2309825234538735,0.1845,0.733644859813084
20250320,3268.0247,3243.6793,3272.7193,3222.3955,539004.0,-7117.0,312292.0,4.0,-1.0,30252.0,-1910.0,0.0,-2.0,0.0,-7343.0,3269.50202,3290.64684,3335.95645,-21.14481999999953,-66.45442999999977,3.0,28342.0,-2.0,-7343.0,-0.013203983643906167,-0.2442300258149156,0.1924,0.8566978193146415
20250321,3270.8134,3266.4556,3287.436,3255.6137,537991.0,-1013.0,269790.0,5.0,-1.0,27812.0,-859.0,0.0,-2.0,0.0,-7275.0,3267.5194,3283.72903,3331.645645,-16.20962999999983,-64.12624499999947,4.0,26953.0,-2.0,-7275.0,-0.0018829311271006393,-0.3756808259497151,0.199,0.9595015576323989
20250324,3266.2013,3248.1249,3270.1665,3241.0739,559131.0,21140.0,233283.0,4.0,-1.0,32217.0,-1758.0,1.0,-2.0,4872.0,-4074.0,3264.70778,3277.77148,3326.011425,-13.06370000000061,-61.30364499999996,3.0,30459.0,-1.0,798.0,0.03780867095546482,-0.2204067695060628,0.2138,1.0
20250325,3258.3418,3264.4753,3274.1381,3256.9611,578745.0,19614.0,188560.0,5.0,0.0,32710.0,0.0,1.0,-2.0,5014.0,-4786.0,3261.96708,3271.13035,3320.17176,-9.163270000000466,-58.20468000000028,5.0,32710.0,-1.0,228.0,0.03389057356867014,-0.236362828763313,0.2089,0.9358638743455499
20250326,3256.7129,3251.5038,3262.5361,3247.4611,586531.0,7786.0,140695.0,4.0,-1.0,32450.0,0.0,1.0,-2.0,5168.0,-6314.0,3264.01882,3267.19366,3314.10998,-3.174839999999676,-50.09115999999995,3.0,32450.0,-1.0,-1146.0,0.013274660674371858,0.1059853217320681,0.2089,0.9358638743455499
20250327,3293.91,3259.8438,3299.1385,3238.3731,577410.0,-9121.0,349646.0,4.0,-1.0,31332.0,-2995.0,1.0,-2.0,4384.0,-2687.0,3269.19588,3269.34895,3310.19883,-0.1530699999998433,-41.00295000000006,3.0,28337.0,-1.0,1697.0,-0.015796401170745225,-0.7045663325524443,0.1983,0.7971204188481678
20250328,3269.5307,3290.0658,3295.0543,3265.6473,587129.0,9719.0,256579.0,5.0,0.0,34568.0,-152.0,1.0,-2.0,4073.0,-8675.0,3268.93934,3268.22937,3304.68358,0.7099699999998847,-35.74423999999999,5.0,34416.0,-1.0,-4602.0,0.016553432039636946,-0.7009139768837435,0.2037,0.8678010471204188
20250331,3239.3922,3253.0506,3258.7527,3233.9236,598386.0,11257.0,288398.0,5.0,0.0,41688.0,0.0,1.0,-2.0,4201.0,-10617.0,3263.57752,3264.14265,3295.948285,-0.5651300000004085,-32.37076500000012,5.0,41688.0,-1.0,-6416.0,0.018812271677479085,-0.813778573045597,0.1927,0.7238219895287961
20250401,3246.4957,3237.2785,3253.4844,3236.4705,596609.0,-1777.0,179609.0,5.0,0.0,39625.0,0.0,1.0,-2.0,6404.0,-10037.0,3261.2083,3261.58769,3287.81396,-0.3793900000000576,-26.60566000000063,5.0,39625.0,-1.0,-3633.0,-0.0029785001567190572,-0.8529447851900187,0.1896,0.6832460732984293
20250402,3259.5217,3253.3142,3261.1672,3246.3021,586997.0,-9612.0,148612.0,5.0,0.0,35929.0,-530.0,1.0,-2.0,4141.0,-7877.0,3261.77006,3262.89444,3281.94488,-1.124380000000201,-20.17482000000018,5.0,35399.0,-1.0,-3736.0,-0.016374870740395606,-0.8710479460965416,0.1987,0.8023560209424083
20250403,3234.8537,3258.2282,3262.9545,3228.5368,599617.0,12620.0,205995.0,5.0,0.0,37641.0,0.0,1.0,-2.0,8411.0,-10900.0,3249.958799999999,3259.57734,3275.11209,-9.618540000000849,-25.15329000000065,5.0,37641.0,-1.0,-2489.0,0.02104676818702605,-0.9079981550384414,0.1993,0.8102094240837698
20250407,3275.307,3271.1168,3313.0757,3263.7284,543279.0,-56338.0,413416.0,5.0,0.0,29209.0,0.0,2.0,-1.0,7145.0,-3863.0,3251.11406,3260.0267,3271.877865,-8.91264000000001,-20.76380500000005,5.0,29209.0,1.0,3282.0,-0.10369994054620187,-0.9021168942933204,0.2463,1.0
20250408,3383.2475,3293.6141,3399.6139,3286.1115,497206.0,-46073.0,564314.0,4.0,-1.0,17273.0,-2379.0,2.0,-1.0,4073.0,-1175.0,3279.88512,3271.73132,3274.7514,8.153800000000047,5.133719999999812,3.0,14894.0,1.0,2898.0,-0.09266380534426374,-0.7848245958504403,0.2208,0.765840220385675
20250409,3400.645,3389.7034,3411.7886,3368.3586,489909.0,-7297.0,445236.0,4.0,-1.0,16966.0,-3621.0,2.0,0.0,3782.0,0.0,3310.71498,3285.96164,3278.545994999999,24.75333999999975,32.16898500000025,3.0,13345.0,2.0,3782.0,-0.014894602875227848,-0.8375521347387279,0.2642,1.0
20250410,3384.5323,3387.5033,3391.888,3356.2832,494422.0,4513.0,346846.0,4.0,-1.0,19720.0,-4725.0,2.0,-1.0,3122.0,0.0,3335.7171,3298.74358,3282.96862,36.97352000000046,52.74848000000065,3.0,14995.0,1.0,3122.0,0.009127830072286427,-0.8396615786642291,0.2665,1.0
20250411,3406.6509,3377.732,3410.3263,3373.2084,488209.0,-6213.0,340230.0,3.0,-2.0,10452.0,-2668.0,1.0,-1.0,2198.0,0.0,3370.07654,3310.01767,3289.683309999999,60.0588700000003,80.39323000000104,1.0,7784.0,0.0,2198.0,-0.012726107056608952,-0.7364420813589937,0.2976,1.0
20250414,3397.1119,3424.0016,3434.5315,3393.356,487088.0,-1121.0,292523.0,4.0,-1.0,12405.0,-2208.0,1.0,-2.0,260.0,-394.0,3394.43752,3322.77579,3295.50258,71.66173000000072,98.9349400000001,3.0,10197.0,-1.0,-134.0,-0.002301432184738692,-0.6330436187711169,0.2073,0.3772413793103449
20250415,3394.0139,3402.1006,3402.1006,3374.5411,490377.0,3289.0,209307.0,4.0,-2.0,10780.0,-2363.0,1.0,-1.0,578.0,-390.0,3396.5908,3338.23796,3301.190305,58.35284000000047,95.40049500000032,2.0,8417.0,0.0,188.0,0.006707084549234569,-0.3536071229670521,0.1989,0.31931034482758613
20250416,3426.4861,3406.3444,3433.0411,3406.1232,486654.0,-3723.0,502000.0,2.0,-3.0,4554.0,-5469.0,2.0,0.0,6449.0,0.0,3401.75902,3356.237,3308.912345,45.52201999999988,92.84667500000023,-1.0,-915.0,2.0,6449.0,-0.00765019911477148,-0.1183078708495324,0.2163,0.4393103448275862
20250417,3417.3224,3427.6068,3430.8761,3411.6569,487764.0,1110.0,347016.0,2.0,-2.0,5549.0,-4095.0,3.0,-1.0,3577.0,0.0,3408.31704,3372.017069999999,3317.455755,36.29997000000094,90.86128500000041,0.0,1454.0,2.0,3577.0,0.0022756907028809014,-0.1696836904719537,0.2169,0.44344827586206903
20250418,3419.9894,3415.7398,3420.1175,3400.6679,487922.0,158.0,236795.0,2.0,-2.0,6434.0,-4078.0,3.0,-1.0,4831.0,0.0,3410.98474,3390.53064,3325.053989999999,20.45409999999993,85.93075000000044,0.0,2356.0,2.0,4831.0,0.0003238222502777083,0.0271911189852272,0.227,0.5131034482758622
20250421,3378.5755,3418.8514,3422.6342,3372.3565,502427.0,14505.0,338595.0,2.0,-2.0,9601.0,-3728.0,2.0,-1.0,3317.0,-1396.0,3407.27746,3400.85749,3330.442095,6.419970000000376,76.83536500000037,0.0,5873.0,1.0,1921.0,0.028869865672027976,0.0694629950386858,0.234,0.551164431898377
20250422,3368.6411,3372.4307,3374.4148,3356.3361,504841.0,2414.0,228216.0,3.0,-1.0,10998.0,-2063.0,3.0,-1.0,3638.0,-282.0,3402.2029,3399.39685,3335.564085,2.806050000000141,66.6388150000007,2.0,8935.0,2.0,3356.0,0.004781703546265062,-0.2736457520040046,0.2395,0.5899788285109386
20250423,3371.657,3356.9079,3378.3966,3354.0979,504205.0,-636.0,201904.0,2.0,-2.0,9100.0,-3003.0,2.0,-1.0,5161.0,0.0,3391.23708,3396.49805,3341.229845,-5.260969999999361,50.00723500000004,0.0,6097.0,1.0,5161.0,-0.0012613916958380024,-0.1396553626612548,0.2321,0.5377558221594919
20250424,3355.6307,3369.3356,3374.7826,3347.0604,502067.0,-2138.0,271989.0,4.0,-1.0,15973.0,-355.0,1.0,-2.0,3809.0,-1658.0,3378.89874,3393.60789,3346.175735,-14.70915000000059,32.72300499999983,3.0,15618.0,-1.0,2151.0,-0.004258395791796712,-0.2391739380001336,0.2199,0.4516584333098096
20250425,3376.4491,3351.9126,3377.2396,3351.9126,493211.0,-8856.0,211757.0,2.0,-2.0,9338.0,-1696.0,3.0,0.0,9338.0,0.0,3370.190680000001,3390.58771,3350.30269,-20.39702999999918,19.88799000000108,0.0,7642.0,3.0,9338.0,-0.0179558039054279,-0.2212212266079676,0.2192,0.4467184191954835
20250428,3371.053,3364.0223,3387.1491,3355.8735,478746.0,-14465.0,208650.0,3.0,-1.0,9966.0,-1467.0,3.0,-1.0,6101.0,0.0,3368.68618,3387.98182,3355.378804999999,-19.29564000000028,13.30737500000032,2.0,8499.0,2.0,6101.0,-0.030214351660379408,-0.7463523405576916,0.2131,0.40366972477064234
20250429,3384.8869,3371.6064,3387.2636,3366.2118,460964.0,-17782.0,190117.0,3.0,-2.0,9941.0,-1669.0,2.0,-1.0,5178.0,-860.0,3371.93534,3387.06912,3362.65354,-15.13378000000012,9.281799999999748,1.0,8272.0,1.0,4318.0,-0.03857568053036679,-0.7074722256946027,0.226,0.49470712773465075
20250430,3380.3246,3388.2147,3390.0604,3359.0083,431749.0,-29215.0,250789.0,4.0,-1.0,10408.0,-610.0,1.0,-2.0,196.0,-1150.0,3373.66886,3382.45297,3369.344985000001,-8.7841099999996,4.323874999999589,3.0,9798.0,-1.0,-954.0,-0.06766663038015143,-0.9073815180677316,0.2518,0.6767819336626678
20250506,3335.3314,3367.2806,3367.2806,3330.2216,449420.0,17671.0,217499.0,4.0,0.0,10409.0,-605.0,1.0,-2.0,3494.0,-5667.0,3369.608999999999,3374.25387,3373.13547,-4.644870000000083,-3.526470000000245,4.0,9804.0,-1.0,-2173.0,0.03931956744248142,-0.9518660541695698,0.1924,0.2575864502470006
20250507,3343.1973,3336.9249,3347.3079,3334.9942,468818.0,19398.0,147874.0,3.0,0.0,10712.0,-605.0,2.0,-2.0,1772.0,-3966.0,3362.95864,3366.57466,3378.55265,-3.616019999999935,-15.59401000000025,3.0,10107.0,0.0,-2194.0,0.04137639766391222,-0.9932358261620808,0.1966,0.2872265349329569
20250508,3349.6306,3344.6238,3350.1363,3327.2744,477469.0,8651.0,186964.0,4.0,-1.0,10313.0,-798.0,1.0,-2.0,0.0,-3102.0,3358.67416,3363.680170000001,3382.26883,-5.006010000000515,-23.59466999999995,3.0,9515.0,-1.0,-3102.0,0.018118453763490406,-1.0543047909965069,0.1921,0.25546930134086093
20250509,3362.2816,3348.8756,3364.2795,3346.9343,481594.0,4125.0,158396.0,4.0,-1.0,11065.0,-773.0,1.0,-2.0,1952.0,-3737.0,3354.1531,3363.04422,3381.220534999999,-8.891120000000228,-27.06743499999993,3.0,10292.0,-1.0,-1785.0,0.008565306046171672,-1.041478620397906,0.1934,0.2646436132674664
20250512,3395.5275,3371.9588,3398.6201,3353.2395,485506.0,3912.0,227950.0,3.0,-2.0,8790.0,-870.0,2.0,-2.0,2596.0,-806.0,3357.193679999999,3365.43127,3380.96466,-8.237590000000637,-23.77098000000069,1.0,7920.0,0.0,1790.0,0.008057572923918552,-0.7763512100643762,0.1774,0.1517290049400141
20250513,3379.1199,3396.5438,3401.362,3372.5681,495663.0,10157.0,153115.0,4.0,-2.0,11213.0,-1013.0,0.0,-2.0,0.0,-4296.0,3365.95138,3367.78019,3380.69404,-1.828809999999976,-14.74265999999989,2.0,10200.0,-2.0,-4296.0,0.020491745399596098,-0.8861195239385137,0.1787,0.16090331686661957
20250514,3384.7757,3377.3001,3386.5161,3365.3487,502949.0,7286.0,164408.0,4.0,-1.0,13122.0,0.0,1.0,-2.0,3856.0,-2943.0,3374.26706,3368.61285,3379.60028,5.654209999999694,-5.333219999999983,3.0,13122.0,-1.0,913.0,0.014486558279268872,-0.994033093246365,0.21,0.38179251940719827
20250515,3370.175,3380.8017,3385.2843,3368.7319,511592.0,8643.0,173320.0,3.0,0.0,12682.0,0.0,1.0,-2.0,4324.0,-4469.0,3378.37594,3368.52505,3378.253435,9.850890000000163,0.1225050000002739,3.0,12682.0,-1.0,-145.0,0.01689432203787393,-1.046456885240033,0.1979,0.2964008468595624
20250516,3368.3296,3369.9562,3369.9562,3353.3232,504282.0,-7310.0,167511.0,3.0,-1.0,10366.0,-1290.0,1.0,-2.0,4438.0,-5718.0,3379.58554,3366.86932,3376.96922,12.71621999999979,2.616320000000087,2.0,9076.0,-1.0,-1280.0,-0.014495857476570648,-1.046213141922545,0.1852,0.20677487649964715
20250519,3345.8084,3355.6724,3356.9391,3336.0642,515614.0,11332.0,198215.0,3.0,-1.0,12482.0,-799.0,1.0,-2.0,4370.0,-4390.0,3369.641720000001,3363.4177,3372.935335,6.22402000000011,-3.293614999999136,2.0,11683.0,-1.0,-20.0,0.021977680978406328,-1.1208207880408918,0.1802,0.17148906139731823
20250520,3358.3693,3347.2208,3369.7521,3332.0458,516680.0,1066.0,260109.0,3.0,-1.0,11552.0,-784.0,1.0,-1.0,3161.0,-2003.0,3365.4916,3365.72149,3369.98768,-0.2298900000000685,-4.496079999999893,2.0,10768.0,0.0,1158.0,0.0020631725632886894,-1.1301793788498895,0.1755,0.13832039520112904
20250521,3347.3602,3355.357,3358.0288,3331.5104,525097.0,8417.0,213379.0,4.0,0.0,12643.0,0.0,1.0,-2.0,4641.0,-3191.0,3358.0085,3366.13778,3366.35622,-8.129280000000108,-8.347720000000209,4.0,12643.0,-1.0,1450.0,0.01602941932633399,-1.469642940078952,0.1731,0.12138320395201127
20250522,3345.2552,3341.8768,3349.5393,3333.5464,524472.0,-625.0,208265.0,3.0,-1.0,9810.0,-2151.0,1.0,-2.0,4439.0,-5872.0,3353.02454,3365.700240000001,3364.690205,-12.67570000000069,-11.66566499999999,2.0,7659.0,-1.0,-1433.0,-0.0011916746747204809,-1.8219764164422587,0.17,0.09950599858856743
20250523,3362.366,3342.156,3365.429,3342.156,515482.0,-8990.0,258740.0,2.0,-2.0,8578.0,-2215.0,1.0,-2.0,4558.0,-4981.0,3351.83182,3365.70868,3364.37645,-13.8768599999994,-12.54462999999942,0.0,6363.0,-1.0,-423.0,-0.017439988205213763,-2.182391406757292,0.1702,0.10091743119266043
20250526,3365.1482,3368.756,3381.0021,3358.0112,520251.0,4769.0,277244.0,3.0,-1.0,9036.0,-1963.0,1.0,-2.0,6498.0,-6204.0,3355.69978,3362.67075,3364.05101,-6.970969999999852,-8.351230000000214,2.0,7073.0,-1.0,294.0,0.009166729136512952,-2.203626612096382,0.1805,0.17360621030345794
20250527,3324.6666,3348.0299,3351.585,3309.6974,548422.0,28171.0,389179.0,3.0,-1.0,9463.0,-4554.0,1.0,-2.0,3060.0,-10691.0,3348.95924,3357.22542,3362.502805,-8.266180000000077,-13.54356499999994,2.0,4909.0,-1.0,-7631.0,0.051367377676314954,-1.2546096229921846,0.1891,0.23429781227946356
20250528,3347.4036,3326.7486,3364.5823,3311.3633,542345.0,-6077.0,281400.0,2.0,-2.0,7232.0,-7028.0,0.0,-2.0,0.0,-8817.0,3348.96792,3353.48821,3361.05053,-4.520290000000386,-12.08260999999948,0.0,204.0,-2.0,-8817.0,-0.011205044759332159,-2.2926613859126523,0.1913,0.24982357092448831
20250529,3400.8531,3349.7631,3412.741,3348.3925,519451.0,-22894.0,405091.0,2.0,-2.0,7293.0,-10576.0,0.0,-2.0,0.0,-3095.0,3360.0875,3356.55602,3362.540535,3.531480000000101,-2.453035,0.0,-3283.0,-2.0,-3095.0,-0.04407345447405049,-2.210017986471073,0.2077,0.365561044460127
20250530,3455.5615,3403.423,3457.1937,3402.8241,493106.0,-26345.0,293816.0,2.0,-2.0,5572.0,-9647.0,1.0,-1.0,2650.0,-2226.0,3378.7266,3365.27921,3366.074265,13.44739000000072,12.65233500000022,0.0,-4075.0,0.0,424.0,-0.053426646603367225,-2.0606142168342894,0.2125,0.3994354269583627
20250603,3442.8657,3454.4764,3458.3076,3427.8529,500015.0,6909.0,270017.0,2.0,-2.0,6511.0,-6159.0,2.0,0.0,2921.0,0.0,3394.2701,3374.98494,3369.20132,19.28516000000036,25.06878000000006,0.0,352.0,2.0,2921.0,0.013817585472435827,-2.3516820414608666,0.191,0.21559970566593084
20250604,3447.0134,3441.7373,3454.6362,3417.8354,509502.0,9487.0,292293.0,2.0,-2.0,7719.0,-6620.0,1.0,-1.0,1680.0,-3300.0,3418.73946,3383.84935,3374.78542,34.89011000000028,43.95403999999962,0.0,1099.0,0.0,-1620.0,0.018620142806112634,-2.2252937072919163,0.1974,0.2397572078907435
20250605,3441.7845,3443.3385,3450.5024,3435.3438,515880.0,6378.0,152515.0,2.0,-2.0,7320.0,-6286.0,1.0,-1.0,2330.0,-1762.0,3437.61564,3393.29178,3379.71478,44.32385999999951,57.90086000000019,0.0,1034.0,0.0,568.0,0.012363340311700395,-2.3845535640756648,0.199,0.22727272727272732
20250606,3427.4824,3447.1265,3454.3252,3421.3479,535790.0,19910.0,258385.0,3.0,-2.0,8855.0,-3707.0,1.0,-1.0,905.0,-2330.0,3442.9415,3401.5145,3383.60737,41.42700000000013,59.33412999999973,1.0,5148.0,0.0,-1425.0,0.037160081375165646,-2.393406895311342,0.2007,0.24059561128526635
20250609,3411.9485,3421.2017,3421.2017,3380.2903,545800.0,10010.0,363596.0,3.0,-1.0,11346.0,-4065.0,0.0,-2.0,0.0,-3536.0,3434.2189,3406.47275,3386.090715,27.74614999999994,48.12818500000003,2.0,7281.0,-2.0,-3536.0,0.018340051300842798,-2.473500487444048,0.1847,0.11520376175548586
20250610,3417.9776,3406.421,3427.1166,3406.421,551483.0,5683.0,242086.0,3.0,-1.0,12300.0,-4015.0,1.0,-2.0,0.0,-2287.0,3429.24128,3411.75569,3387.21322,17.48559000000023,42.02805999999964,2.0,8285.0,-1.0,-2287.0,0.010304941403452146,-2.542428259312034,0.1871,0.13401253918495284
20250611,3419.2788,3410.8442,3421.4472,3405.5004,555720.0,4237.0,205867.0,3.0,-1.0,11432.0,-2219.0,1.0,-2.0,644.0,-2423.0,3423.69436,3421.21691,3389.221165,2.477449999999862,34.47319500000003,2.0,9213.0,-1.0,-1779.0,0.007624343194414454,-2.539663254984529,0.19,0.15673981191222566
20250612,3410.802,3416.5657,3416.5657,3383.4039,569533.0,13813.0,380354.0,3.0,-1.0,12926.0,-2509.0,0.0,-2.0,0.0,-4852.0,3417.49786,3427.55675,3390.52248,-10.05888999999934,26.97538000000077,2.0,10417.0,-2.0,-4852.0,0.024253203940772527,-2.639946242372323,0.1991,0.22805642633228837
20250613,3469.5677,3416.4999,3471.8924,3416.4999,549444.0,-20089.0,428115.0,3.0,-2.0,6438.0,-3006.0,1.0,-1.0,4918.0,-3331.0,3425.91492,3434.42821,3395.492115,-8.513289999999415,30.42280500000061,1.0,3432.0,0.0,1587.0,-0.03656241582399662,-2.5466323003472,0.2133,0.33934169278996856
20250616,3501.5264,3479.4609,3514.1292,3473.1437,547859.0,-1585.0,418559.0,1.0,-2.0,4717.0,-5417.0,1.0,-1.0,3678.0,-3051.0,3443.8305,3439.0247,3402.151955,4.805799999999635,41.67854500000021,-1.0,-700.0,0.0,627.0,-0.002893080153835202,-2.707242372445155,0.2157,0.35815047021943575
20250617,3481.3718,3494.4388,3499.5894,3475.4155,543175.0,-4684.0,304142.0,1.0,-2.0,5681.0,-3926.0,1.0,-1.0,646.0,-2816.0,3456.50934,3442.87531,3408.930125,13.63402999999926,47.57921499999975,-1.0,1755.0,0.0,-2170.0,-0.00862337184148755,-2.5999518608198247,0.2111,0.3221003134796239
20250618,3542.8053,3481.7724,3550.075,3475.6251,539599.0,-3576.0,451568.0,1.0,-2.0,7913.0,-8580.0,1.0,-1.0,5969.0,-1926.0,3481.21464,3452.454500000001,3418.151925,28.76013999999896,63.06271500000003,-1.0,-667.0,0.0,4043.0,-0.0066271434898878614,-2.437677142867228,0.2175,0.3722570532915361
20250619,3540.054,3535.2327,3544.2459,3522.0017,536584.0,-3015.0,289304.0,1.0,-2.0,3263.0,-7513.0,1.0,-1.0,3675.0,-1555.0,3507.06504,3462.28145,3427.786615,44.78359,79.27842499999997,-1.0,-4250.0,0.0,2120.0,-0.005618877938962027,-2.6113350621467637,0.2174,0.37147335423197503
20250620,3539.2558,3534.2118,3561.6772,3532.4095,534067.0,-2517.0,288203.0,1.0,-2.0,3320.0,-5995.0,1.0,-1.0,6173.0,-4437.0,3521.00266,3473.45879,3437.486645,47.54386999999997,83.5160149999997,-1.0,-2675.0,0.0,1736.0,-0.004712891828178862,-2.439587978617136,0.2059,0.28134796238244514
20250623,3508.2032,3521.5489,3526.9699,3499.8764,546677.0,12610.0,301871.0,1.0,-2.0,7871.0,-6533.0,1.0,-1.0,1551.0,-4500.0,3522.33802,3483.084260000001,3444.778505,39.2537599999996,77.55951500000037,-1.0,1338.0,0.0,-2949.0,0.023066637155029386,-2.532867426087091,0.2239,0.42241379310344823
20250624,3489.2696,3475.95,3498.5015,3468.0993,550355.0,3678.0,218558.0,2.0,-2.0,7904.0,-5843.0,1.0,-1.0,733.0,-3807.0,3523.91758,3490.21346,3450.984575,33.70411999999988,72.93300499999987,0.0,2061.0,0.0,-3074.0,0.006682959180892333,-2.497058950638237,0.2174,0.37147335423197503
20250625,3505.82,3492.4907,3515.1663,3490.5861,556413.0,6058.0,256348.0,2.0,-1.0,9080.0,-5818.0,1.0,-1.0,251.0,-6768.0,3516.52052,3498.86758,3460.042245,17.65294000000085,56.47827500000085,1.0,3262.0,0.0,-6517.0,0.01088759608420364,-2.6056839175994657,0.2139,0.34404388714733547
20250626,3502.9899,3497.4807,3514.3822,3492.7759,556117.0,-296.0,226827.0,2.0,-1.0,5446.0,-6209.0,1.0,-1.0,0.0,-4891.0,3509.1077,3508.08637,3467.821559999999,1.021330000000489,41.28614000000107,1.0,-763.0,0.0,-4891.0,-0.0005322620959258574,-1.6309580851979175,0.2089,0.304858934169279
20250627,3514.8447,3498.3885,3517.431,3493.1964,548258.0,-7859.0,278085.0,2.0,-1.0,6652.0,-5641.0,0.0,-2.0,0.0,-3315.0,3504.22548,3512.614070000001,3473.52114,-8.388590000000477,30.70434000000023,1.0,1011.0,-2.0,-3315.0,-0.014334492155153231,-1.742234336136713,0.2076,0.29467084639498436
20250630,3571.6708,3496.9759,3571.6708,3488.7164,527541.0,-20717.0,390331.0,1.0,-2.0,8363.0,-5567.0,0.0,-1.0,0.0,-1444.0,3516.919,3519.62851,3479.326605,-2.709509999999682,37.59239500000058,-1.0,2796.0,-1.0,-1444.0,-0.03927088131538591,-1.7340470321864774,0.2322,0.48746081504702193
20250701,3570.4892,3569.2987,3584.7345,3562.2713,527302.0,-239.0,256538.0,1.0,-2.0,8655.0,-7215.0,1.0,-2.0,0.0,-3008.0,3533.16292,3528.54025,3485.70778,4.622669999999744,47.45514000000048,-1.0,1440.0,-1.0,-3008.0,-0.0004532506988405126,-1.6376395393963277,0.2214,0.40282131661442017
