,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250221,3367.6332,3365.8099,3383.0962,3363.0727,2639717.0,20064.0,1365989.0,2.0,0.0,75597.0,0.0,1.0,-2.0,36674.0,-177823.0,3334.48546,3312.90196,3335.73591,21.58349999999973,-1.250450000000455,2.0,75597.0,-1.0,-141149.0,0.007600814784312107,-0.3529835142433997,0.1493,0.1878980891719741
20250224,3347.7048,3351.2977,3361.9356,3328.8045,2602079.0,-37638.0,1540657.0,2.0,0.0,78431.0,0.0,1.0,-2.0,43845.0,-201983.0,3344.67528,3314.08154,3334.430825,30.59374000000025,10.24445500000002,2.0,78431.0,-1.0,-158138.0,-0.01446458773926541,-0.2914033770994872,0.1421,0.0
20250225,3282.7063,3345.6869,3350.3715,3278.1136,2642052.0,39973.0,1967724.0,3.0,0.0,114952.0,0.0,1.0,-2.0,37890.0,-209733.0,3337.21746,3314.28798,3330.688349999999,22.92947999999978,6.529110000000401,3.0,114952.0,-1.0,-171843.0,0.015129528109212082,-0.3629734886223222,0.143,0.027522935779816023
20250226,3347.8505,3283.1968,3354.5653,3280.3104,2678471.0,36419.0,2944882.0,3.0,0.0,103024.0,0.0,1.0,-2.0,58358.0,-214079.0,3342.21768,3319.14011,3330.24662,23.07756999999992,11.97105999999985,3.0,103024.0,-1.0,-155721.0,0.013596936461137717,-0.3869264346108886,0.1569,0.45259938837920505
20250227,3341.924,3350.2923,3359.9094,3306.6036,2693198.0,14727.0,2629490.0,3.0,0.0,103973.0,0.0,1.0,-2.0,74923.0,-225729.0,3337.56376,3326.20888,3330.351025,11.35488000000032,7.212735000000066,3.0,103973.0,-1.0,-150806.0,0.005468220309089789,-0.3633298858744729,0.1561,0.428134556574923
20250228,3340.489,3343.4822,3350.1776,3315.1247,2702579.0,9381.0,1822705.0,3.0,0.0,85672.0,0.0,1.0,-2.0,70738.0,-232547.0,3332.13492,3333.31019,3329.681985,-1.175270000000637,2.452934999999343,3.0,85672.0,-1.0,-161809.0,0.0034711288735685434,-0.7230603881087005,0.1557,0.4159021406727828
20250303,3311.22,3335.5543,3353.8894,3308.5661,2727892.0,25313.0,2288988.0,2.0,0.0,68713.0,0.0,1.0,-2.0,59796.0,-211697.0,3324.83796,3334.75662,3326.29644,-9.918660000000273,-1.458479999999781,2.0,68713.0,-1.0,-151901.0,0.009279326307639744,-0.4176678345729159,0.1557,0.4159021406727828
20250304,3298.7673,3313.6389,3324.1363,3276.9373,2801331.0,73439.0,2083692.0,2.0,0.0,73069.0,0.0,1.0,-2.0,58198.0,-200096.0,3328.05016,3332.63381,3321.96924,-4.583650000000034,6.080920000000333,2.0,73069.0,-1.0,-141898.0,0.026215752440536304,-0.3307811956834087,0.1592,0.5229357798165137
20250305,3274.7657,3295.4668,3304.2514,3267.3172,2905809.0,104478.0,2106717.0,2.0,0.0,80713.0,0.0,1.0,-2.0,59541.0,-218083.0,3313.433199999999,3327.825440000001,3319.49485,-14.39224000000104,-6.061650000000554,2.0,80713.0,-1.0,-158542.0,0.035954875217194246,-0.3332839043660263,0.1568,0.44954128440366936
20250306,3297.6863,3276.1666,3314.3454,3270.5594,2944196.0,38387.0,2320000.0,3.0,-1.0,77046.0,0.0,1.0,-2.0,47068.0,-196670.0,3304.58566,3321.07471,3316.383965,-16.48905000000013,-11.79830500000025,2.0,77046.0,-1.0,-149602.0,0.01303819446803134,-0.4046213257366564,0.1532,0.3394495412844036
20250307,3266.9242,3296.8982,3300.9944,3261.9759,3027798.0,83602.0,2272571.0,2.0,0.0,77491.0,0.0,1.0,-2.0,43138.0,-230837.0,3289.8727,3311.00381,3311.952885,-21.13110999999981,-22.08018500000026,2.0,77491.0,-1.0,-187699.0,0.027611485310446732,-0.3508073775111815,0.1536,0.3516819571865437
20250310,3236.478,3258.5379,3280.4993,3231.8788,3148384.0,120586.0,2341889.0,3.0,0.0,117947.0,0.0,1.0,-2.0,46109.0,-225910.0,3274.9243,3299.88113,3306.981335,-24.95683000000054,-32.05703500000072,3.0,117947.0,-1.0,-179801.0,0.03830091882057589,-0.3415723607288264,0.1516,0.2905198776758412
20250311,3226.0731,3236.81,3241.3716,3204.4852,3148356.0,-28.0,1905891.0,3.0,0.0,117990.0,0.0,1.0,-2.0,41893.0,-196231.0,3260.38546,3294.217810000001,3304.252895,-33.83235000000059,-43.86743500000011,3.0,117990.0,-1.0,-154338.0,-8.893530464788607e-06,-0.3457562118954503,0.1524,0.31498470948012236
